date,equity,cash,cash_pct,gross_exposure_pct,candidate_count
2025-11-13,1.8511653425680001,156899.34256800002,8.4757,82.83,10
2025-11-14,1.786142135423,50500.13542300002,2.8273,93.47,10
2025-11-17,1.8041864484080001,154246.44840800003,8.5494,82.83,10
2025-11-18,1.7931324484080002,154246.44840800003,8.6021,82.83,10
2025-11-19,1.8221614484080002,154246.44840800003,8.465,82.83,10
2025-11-20,1.8353444484080002,154246.44840800003,8.4042,82.83,10
2025-11-21,1.7301070861280001,262297.08612800005,15.1607,71.8,10
2025-11-24,1.708859709708,407758.70970800007,23.8615,64.3,10
2025-11-25,1.7693697097080001,407758.70970800007,23.0454,64.3,10
2025-11-26,1.888110265048,309505.2650480001,16.3923,74.12,10
2025-11-27,1.880606132518,407217.1325180001,21.6535,64.3,10
2025-11-28,1.887073132518,407217.1325180001,21.5793,64.3,10
2025-12-01,1.9339989071872499,307542.9071872501,15.9019,74.26,10
2025-12-02,1.9547089071872499,307542.9071872501,15.7334,74.26,10
2025-12-03,1.9535969071872499,307542.9071872501,15.7424,74.26,10
2025-12-04,1.97532490718725,307542.9071872501,15.5692,74.26,10
2025-12-05,2.00427290718725,307542.9071872501,15.3444,74.26,10
2025-12-08,2.07919971910725,211438.7191072501,10.1692,83.87,10
2025-12-09,2.15046633950725,208355.3395072501,9.6888,83.76,10
2025-12-10,2.18771049587225,162234.4958722501,7.4157,88.14,10
2025-12-11,2.11388786677725,299991.8667772501,14.1915,74.26,10
2025-12-12,2.12436786677725,299991.8667772501,14.1215,74.26,10
2025-12-15,2.12029519282725,150034.19282725008,7.0761,89.25,10
2025-12-16,2.0425450052272502,298433.00522725005,14.6108,74.26,10
2025-12-17,2.16213093710225,151221.93710225006,6.9941,88.98,10
2025-12-18,2.08268370595225,352029.70595225005,16.9027,69.7,10
2025-12-19,2.10223870595225,352029.70595225005,16.7455,69.7,10
2025-12-22,2.21719370595225,352029.70595225005,15.8773,69.7,10
2025-12-23,2.2129545508562503,233062.55085625005,10.5317,81.59,10
2025-12-24,2.22008655085625,233062.55085625005,10.4979,81.59,10
2025-12-25,2.2302845508562505,233062.55085625005,10.4499,81.59,10
2025-12-26,2.2276205508562503,233062.55085625005,10.4624,81.59,10
2025-12-29,2.2003995508562504,233062.55085625005,10.5918,81.59,10
2025-12-30,2.2209145508562504,233062.55085625005,10.494,81.59,10
2025-12-31,2.1636555508562503,233062.55085625005,10.7717,81.59,10
2026-01-05,2.1626645508562503,233062.55085625005,10.7766,81.59,10
2026-01-06,2.1211045508562503,233062.55085625005,10.9878,81.59,10
2026-01-07,2.1555855508562503,233062.55085625005,10.812,81.59,10
2026-01-08,2.10486255085625,233062.55085625005,11.0726,81.59,10
2026-01-09,2.08711355085625,233062.55085625005,11.1667,81.59,10
2026-01-12,2.08450986869625,359820.86869625,17.2617,69.7,10
2026-01-13,2.06860486869625,359820.86869625,17.3944,69.7,10
2026-01-14,2.07742856852125,278918.56852125004,13.4261,77.78,10
2026-01-15,2.15848213379625,359416.13379625004,16.6513,69.7,10
2026-01-16,2.17753013379625,359416.13379625004,16.5057,69.7,10
2026-01-19,2.2171728656762504,283699.86567625,12.7956,77.26,10
2026-01-20,2.13749786567625,283699.86567625,13.2725,77.26,10
2026-01-21,2.1559148656762503,283699.86567625,13.1591,77.26,10
2026-01-22,2.21520186567625,283699.86567625,12.807,77.26,10
2026-01-23,2.11857086567625,283699.86567625,13.3911,77.26,10
2026-01-26,2.13722286567625,283699.86567625,13.2742,77.26,10
2026-01-27,2.18584786567625,283699.86567625,12.9789,77.26,10
2026-01-28,2.1954988656762504,283699.86567625,12.9219,77.26,10
2026-01-29,2.16450252793625,357663.52793625003,16.5241,69.7,10
2026-01-30,2.25170452793625,357663.52793625003,15.8841,69.7,10
2026-02-02,2.22148852793625,357663.52793625003,16.1002,69.7,10
2026-02-03,2.22703352793625,357663.52793625003,16.0601,69.7,10
2026-02-04,2.14275652793625,357663.52793625003,16.6917,69.7,10
2026-02-05,2.09744952793625,357663.52793625003,17.0523,69.7,10
2026-02-06,2.02860252793625,357663.52793625003,17.631,69.7,10
